LCLid,total_daily,total_weekly,total_monthly,total_annual,min_cons,min_time,max_cons,max_time,peak_duration,avg_weekday,avg_weekend,avg_monthly,avg_seasonal,load_factor,ramp_rate,activation_hour,deactivation_hour,load_shift,occupancy_rate,variance,std_dev,weekends_impact,annual_trend,autocorr,crest_factor,kmeans_cluster,dbscan_cluster
MAC004596,3286.3729999999996,3286.373,3286.3729999999996,3286.3729999999996,0.0,18:30:00,1.9680001,18:30:00,3,0.12118763646550378,0.11854848248456784,172.96699999999998,0.12033977188079506,0.06118436576491806,0.0461767550930651,15.68421052631579,6.670175438596491,0.01390632270893924,0.9,0.017024959417849168,0.13047972799576632,0.9845333236523316,,0.2370690121805059,11.084359892885509,0,-1
MAC004597,4967.9640007,4967.964000700001,4967.9640007,4967.9640007,0.014,04:30:00,2.2780001,13:00:00,4,0.17255582488012775,0.1758803921691176,248.398200035,0.1689464018861666,0.07615744185986215,0.06619189808276296,13.0,8.34448160535117,0.02190700346555935,0.8996655518394648,0.03189659067807589,0.17859616647082852,1.0137977870703585,,0.19430052214385077,9.149177821672904,0,-1
MAC004598,1966.134,1966.134,1966.1340000000002,1966.1340000000002,0.0,12:00:00,0.786,17:30:00,16,0.065131263242161,0.07719134176926587,98.3067,0.0674339088682193,0.08736528178581951,0.04954542279347485,17.04515050167224,1.100334448160535,0.05689237403265486,0.8996655518394648,0.00805794282987655,0.08976604497178513,1.1243568181214187,,0.5962512732459728,6.954633517984105,0,-1
MAC004599,2023.1539999999998,2023.154,2023.154,2023.154,0.0,23:30:00,1.151,13:00:00,5,0.0703740794055398,0.07103100490196079,101.1577,0.07091105463623282,0.06138417607270666,0.04887011943842726,17.48829431438127,5.882943143812709,0.044397239637627824,0.8996655518394648,0.01022679649356347,0.10112762477959951,1.005347504622746,,0.4522461536278097,9.330224203798597,0,-1
MAC004600,4484.360000000001,4484.36,4484.36,4484.36,0.006,01:30:00,1.353,11:30:00,29,0.1525269916415008,0.16873791024829504,224.21800000000002,0.1553685472276649,0.11600513992928085,0.05504546727336056,16.32274247491639,9.224080267558529,0.01132681253489437,0.8996655518394648,0.01497091456188973,0.12235568871895466,1.074998120658598,,0.3755485545488034,6.798630317824356,0,-1
MAC004601,4155.339999600001,4155.3399996,4155.3399996,4155.3399996,0.009,15:30:00,1.724,13:00:00,20,0.14709808879653438,0.14009901957107845,207.76699998000004,0.14614531759537597,0.08420227154479691,0.050866301006145455,15.981605351170568,6.142140468227424,0.08420435687307308,0.8996655518394648,0.022761596267601082,0.1508694676453824,0.9651038027232899,,0.38604632959681995,8.234433216000863,0,-1
MAC004602,3022.882,3022.882,3022.882,3022.882,0.017,11:30:00,1.041,15:00:00,3,0.10581319951424605,0.10528039215686276,151.1441,0.10550062969689204,0.10157852059004052,0.02792034562373023,15.048494983277592,8.764214046822742,0.03889945137169469,0.8996655518394648,0.0028195417120659917,0.0530993569835454,0.9956229090610783,,0.32289674218366954,8.797717754193057,0,-1
MAC004603,3445.8190005,3445.8190004999997,3445.8190005,3445.8190005000006,0.007,11:30:00,2.744,12:30:00,8,0.11201959524638067,0.1412416667279411,172.290950025,0.11977003908007662,0.04385879232583038,0.04989724428067294,14.531772575250836,3.630434782608696,0.0695764480626414,0.9013377926421404,0.014646549470478616,0.12102292952361803,1.173605288370516,,0.2703018944172487,16.07738135512698,0,-1
MAC004607,4095.9030002999993,4095.9030002999993,4095.9030003000003,4095.9030003000003,0.011,05:30:00,1.8329999,18:30:00,3,0.14164821513542053,0.1479688725490196,204.79515001500005,0.141854250448274,0.07830034726629602,0.04786578829589381,16.7809364548495,7.913043478260869,0.0588502507486227,0.8996655518394648,0.020367282116416974,0.14271398710854158,1.0331844875996996,,0.41050781647802576,9.056312699305908,0,-1
MAC004608,2595.6549999999997,2595.655,2595.6549999999993,2595.6549999999997,0.011,07:30:00,1.627,13:30:00,2,0.08411142313683209,0.10692474968710886,129.78275000000002,0.08894557663085478,0.055715674743608,0.04894949883001914,13.785953177257525,7.473244147157191,0.06182424561120695,0.8996655518394648,0.011767467514922816,0.1084779586594568,1.1795254199058127,,0.21177632676778319,11.509125174174255,0,-1
